route_id,service_id,trip_id,trip_short_name,trip_headsign,direction_id,block_id,shape_id,bikes_allowed
1024,5394A6507,636950A5394B6507,,33rd via Hoboken,1,,0,0
862,5395A6507,637465A5395B6507,,World Trade Center,1,,1,0
862,5459A6540,649714A5459B6540,,Newark,0,,2,0
862,5459A6540,649800A5459B6540,,Newark,0,,2,0
859,5394A6507,636170A5394B6507,,33rd Street,1,,3,0
862,5394A6507,637570A5394B6507,,Newark,0,,2,0
861,5394A6507,637072A5394B6507,,33rd Street,1,,4,0
860,5459A6540,649339A5459B6540,,World Trade Center,1,,5,0
861,5459A6540,649650A5459B6540,,Journal Square,0,,6,0
860,5459A6540,649461A5459B6540,,Hoboken,0,,7,0
860,5394A6507,636491A5394B6507,,Hoboken,0,,7,0
861,5394A6507,637060A5394B6507,,33rd Street,1,,4,0
860,5459A6540,649442A5459B6540,,Hoboken,0,,7,0
860,5394A6507,636508A5394B6507,,Hoboken,0,,7,0
1024,5396A6507,636719A5396B6507,,Journal Square via Hoboken,0,,8,0
859,5394A6507,636301A5394B6507,,Hoboken,0,,9,0
5745,5302A6349,658979A5302B6349,,Terminals A/C/D and P10,0,,10,0
862,5459A6540,649811A5459B6540,,Newark,0,,2,0
1024,5394A6507,636949A5394B6507,,33rd via Hoboken,1,,11,0
859,5459A6540,649098A5459B6540,,33rd Street,1,,3,0
862,5459A6540,649727A5459B6540,,Newark,0,,2,0
862,5396A6507,637256A5396B6507,,Newark,0,,2,0
862,5395A6507,637383A5395B6507,,Newark,0,,2,0
861,5394A6507,637154A5394B6507,,Journal Square,0,,6,0
861,5459A6540,649631A5459B6540,,Journal Square,0,,6,0
862,5394A6507,637550A5394B6507,,Newark,0,,2,0
860,5459A6540,649388A5459B6540,,Hoboken,0,,7,0
859,5394A6507,636155A5394B6507,,33rd Street,1,,3,0
860,5394A6507,636518A5394B6507,,Hoboken,0,,7,0
859,5459A6540,649171A5459B6540,,33rd Street,1,,3,0
860,5394A6507,636356A5394B6507,,World Trade Center,1,,5,0
859,5459A6540,649197A5459B6540,,Hoboken,0,,9,0
861,5459A6540,649679A5459B6540,,Journal Square,0,,6,0
861,5394A6507,637027A5394B6507,,33rd Street,1,,4,0
860,5394A6507,636345A5394B6507,,World Trade Center,1,,5,0
1024,5395A6507,636738A5395B6507,,33rd via Hoboken,1,,11,0
862,5396A6507,637241A5396B6507,,Newark,0,,2,0
862,5459A6540,649726A5459B6540,,Newark,0,,2,0
862,5459A6540,649742A5459B6540,,Newark,0,,2,0
860,5459A6540,649385A5459B6540,,Hoboken,0,,7,0
861,5394A6507,637068A5394B6507,,33rd Street,1,,4,0
1024,5395A6507,636830A5395B6507,,33rd via Hoboken,1,,11,0
1024,5459A6540,649707A5459B6540,,Journal Square via Hoboken,0,,8,0
862,5394A6507,637667A5394B6507,,World Trade Center,1,,1,0
862,5394A6507,637755A5394B6507,,World Trade Center,1,,1,0
862,5395A6507,637468A5395B6507,,World Trade Center,1,,1,0
859,5394A6507,636171A5394B6507,,33rd Street,1,,3,0
861,5394A6507,637136A5394B6507,,Journal Square,0,,6,0
862,5394A6507,637537A5394B6507,,Newark,0,,2,0
861,5459A6540,649606A5459B6540,,Journal Square,0,,6,0
860,5394A6507,636343A5394B6507,,World Trade Center,1,,5,0
1024,5395A6507,636896A5395B6507,,Journal Square via Hoboken,0,,8,0
861,5394A6507,637109A5394B6507,,Journal Square,0,,6,0
862,5396A6507,637276A5396B6507,,Newark,0,,2,0
1024,5395A6507,636884A5395B6507,,Journal Square via Hoboken,0,,8,0
862,5394A6507,637608A5394B6507,,Newark,0,,2,0
859,5394A6507,636160A5394B6507,,33rd Street,1,,3,0
859,5459A6540,649123A5459B6540,,33rd Street,1,,3,0
859,5459A6540,649214A5459B6540,,Hoboken,0,,9,0
859,5394A6507,636218A5394B6507,,33rd Street,1,,3,0
860,5394A6507,636514A5394B6507,,Hoboken,0,,7,0
1024,5459A6540,649698A5459B6540,,Journal Square via Hoboken,0,,8,0
860,5394A6507,636465A5394B6507,,Hoboken,0,,7,0
862,5394A6507,637553A5394B6507,,Newark,0,,2,0
859,5394A6507,636192A5394B6507,,33rd Street,1,,3,0
861,5394A6507,637093A5394B6507,,33rd Street,1,,4,0
1024,5395A6507,636847A5395B6507,,Journal Square via Hoboken,0,,8,0
859,5459A6540,649108A5459B6540,,33rd Street,1,,3,0
862,5394A6507,637766A5394B6507,,World Trade Center,1,,1,0
859,5394A6507,636174A5394B6507,,33rd Street,1,,3,0
861,5394A6507,637095A5394B6507,,33rd Street,1,,4,0
862,5396A6507,637263A5396B6507,,Newark,0,,2,0
859,5459A6540,649205A5459B6540,,Hoboken,0,,9,0
859,5459A6540,649277A5459B6540,,Hoboken,0,,9,0
862,5459A6540,649825A5459B6540,,World Trade Center,1,,1,0
860,5459A6540,649305A5459B6540,,World Trade Center,1,,5,0
862,5394A6507,637520A5394B6507,,Newark,0,,2,0
1024,5395A6507,636914A5395B6507,,Journal Square via Hoboken,0,,8,0
859,5394A6507,636156A5394B6507,,33rd Street,1,,3,0
861,5394A6507,637047A5394B6507,,33rd Street,1,,4,0
859,5459A6540,649127A5459B6540,,33rd Street,1,,3,0
859,5394A6507,636330A5394B6507,,Hoboken,0,,9,0
862,5396A6507,637237A5396B6507,,Newark,0,,2,0
859,5394A6507,636173A5394B6507,,33rd Street,1,,3,0
862,5459A6540,649836A5459B6540,,World Trade Center,1,,1,0
860,5394A6507,636455A5394B6507,,Hoboken,0,,7,0
860,5459A6540,649410A5459B6540,,Hoboken,0,,7,0
862,5459A6540,649916A5459B6540,,World Trade Center,1,,1,0
860,5394A6507,636525A5394B6507,,Hoboken,0,,7,0
1024,5396A6507,636726A5396B6507,,Journal Square via Hoboken,0,,8,0
860,5394A6507,636542A5394B6507,,Hoboken,0,,7,0
862,5395A6507,637356A5395B6507,,Newark,0,,2,0
862,5459A6540,649801A5459B6540,,Newark,0,,2,0
862,5459A6540,649876A5459B6540,,World Trade Center,1,,1,0
859,5394A6507,636124A5394B6507,,33rd Street,1,,3,0
1024,5395A6507,636903A5395B6507,,Journal Square via Hoboken,0,,8,0
862,5394A6507,637599A5394B6507,,Newark,0,,2,0
1024,5396A6507,636601A5396B6507,,33rd via Hoboken,1,,11,0
862,5395A6507,637451A5395B6507,,World Trade Center,1,,1,0
861,5394A6507,637059A5394B6507,,33rd Street,1,,4,0
861,5394A6507,637113A5394B6507,,Journal Square,0,,6,0
862,5396A6507,637344A5396B6507,,World Trade Center,1,,1,0
859,5394A6507,636251A5394B6507,,Hoboken,0,,9,0
859,5394A6507,636291A5394B6507,,Hoboken,0,,9,0
1024,5396A6507,636680A5396B6507,,Journal Square via Hoboken,0,,8,0
1024,5395A6507,636777A5395B6507,,33rd via Hoboken,1,,11,0
861,5394A6507,637055A5394B6507,,33rd Street,1,,4,0
1024,5395A6507,636779A5395B6507,,33rd via Hoboken,1,,11,0
862,5395A6507,637422A5395B6507,,World Trade Center,1,,1,0
860,5394A6507,636359A5394B6507,,World Trade Center,1,,5,0
860,5394A6507,636440A5394B6507,,World Trade Center,1,,5,0
862,5395A6507,637352A5395B6507,,Newark,0,,2,0
861,5459A6540,649551A5459B6540,,33rd Street,1,,4,0
861,5459A6540,649570A5459B6540,,33rd Street,1,,4,0
862,5459A6540,649886A5459B6540,,World Trade Center,1,,1,0
860,5394A6507,636463A5394B6507,,Hoboken,0,,7,0
1024,5395A6507,636902A5395B6507,,Journal Square via Hoboken,0,,8,0
862,5395A6507,637442A5395B6507,,World Trade Center,1,,1,0
862,5396A6507,637305A5396B6507,,World Trade Center,1,,1,0
862,5459A6540,649889A5459B6540,,World Trade Center,1,,1,0
1024,5395A6507,636765A5395B6507,,33rd via Hoboken,1,,11,0
861,5459A6540,649632A5459B6540,,Journal Square,0,,6,0
862,5395A6507,637458A5395B6507,,World Trade Center,1,,1,0
861,5459A6540,649539A5459B6540,,33rd Street,1,,4,0
859,5394A6507,636329A5394B6507,,Hoboken,0,,9,0
859,5394A6507,636203A5394B6507,,33rd Street,1,,3,0
859,5394A6507,636220A5394B6507,,33rd Street,1,,3,0
861,5394A6507,637079A5394B6507,,33rd Street,1,,4,0
862,5394A6507,637747A5394B6507,,World Trade Center,1,,1,0
859,5394A6507,636133A5394B6507,,33rd Street,1,,3,0
860,5459A6540,649400A5459B6540,,Hoboken,0,,7,0
1024,5395A6507,636733A5395B6507,,33rd via Hoboken,1,,11,0
860,5394A6507,636410A5394B6507,,World Trade Center,1,,5,0
1024,5396A6507,636599A5396B6507,,33rd via Hoboken,1,,11,0
1024,5395A6507,636732A5395B6507,,33rd via Hoboken,1,,11,0
862,5394A6507,637723A5394B6507,,World Trade Center,1,,1,0
859,5394A6507,636292A5394B6507,,Hoboken,0,,9,0
860,5394A6507,636495A5394B6507,,Hoboken,0,,7,0
862,5396A6507,637244A5396B6507,,Newark,0,,2,0
862,5394A6507,637479A5394B6507,,Newark,0,,2,0
859,5459A6540,649099A5459B6540,,33rd Street,1,,3,0
862,5394A6507,637518A5394B6507,,Newark,0,,2,0
861,5459A6540,649494A5459B6540,,33rd Street,1,,4,0
862,5394A6507,637511A5394B6507,,Newark,0,,2,0
862,5395A6507,637467A5395B6507,,World Trade Center,1,,1,0
862,5394A6507,637654A5394B6507,,World Trade Center,1,,1,0
862,5395A6507,637377A5395B6507,,Newark,0,,2,0
1024,5396A6507,636725A5396B6507,,Journal Square via Hoboken,0,,8,0
859,5394A6507,636152A5394B6507,,33rd Street,1,,3,0
862,5394A6507,637644A5394B6507,,World Trade Center,1,,1,0
862,5459A6540,649748A5459B6540,,Newark,0,,2,0
861,5459A6540,649517A5459B6540,,33rd Street,1,,4,0
1024,5395A6507,636910A5395B6507,,Journal Square via Hoboken,0,,8,0
860,5459A6540,649437A5459B6540,,Hoboken,0,,7,0
862,5459A6540,649717A5459B6540,,Newark,0,,2,0
862,5459A6540,649910A5459B6540,,World Trade Center,1,,1,0
860,5459A6540,649309A5459B6540,,World Trade Center,1,,5,0
862,5394A6507,637679A5394B6507,,World Trade Center,1,,1,0
860,5459A6540,649401A5459B6540,,Hoboken,0,,7,0
860,5394A6507,636494A5394B6507,,Hoboken,0,,7,0
1024,5395A6507,636785A5395B6507,,33rd via Hoboken,1,,11,0
861,5394A6507,637145A5394B6507,,Journal Square,0,,6,0
862,5394A6507,637659A5394B6507,,World Trade Center,1,,1,0
861,5459A6540,649505A5459B6540,,33rd Street,1,,4,0
860,5459A6540,649466A5459B6540,,Hoboken,0,,7,0
1024,5396A6507,636667A5396B6507,,Journal Square via Hoboken,0,,8,0
862,5394A6507,637513A5394B6507,,Newark,0,,2,0
860,5394A6507,636471A5394B6507,,Hoboken,0,,7,0
860,5394A6507,636380A5394B6507,,World Trade Center,1,,5,0
860,5459A6540,649444A5459B6540,,Hoboken,0,,7,0
859,5394A6507,636240A5394B6507,,Hoboken,0,,9,0
862,5396A6507,637312A5396B6507,,World Trade Center,1,,1,0
862,5395A6507,637382A5395B6507,,Newark,0,,2,0
862,5394A6507,637545A5394B6507,,Newark,0,,2,0
861,5459A6540,649670A5459B6540,,Journal Square,0,,6,0
1024,5395A6507,636928A5395B6507,,Journal Square via Hoboken,0,,8,0
860,5394A6507,636501A5394B6507,,Hoboken,0,,7,0
860,5459A6540,649377A5459B6540,,World Trade Center,1,,5,0
861,5459A6540,649609A5459B6540,,Journal Square,0,,6,0
860,5394A6507,636532A5394B6507,,Hoboken,0,,7,0
862,5395A6507,637425A5395B6507,,World Trade Center,1,,1,0
1024,5395A6507,636729A5395B6507,,33rd via Hoboken,1,,11,0
1024,5395A6507,636806A5395B6507,,33rd via Hoboken,1,,11,0
861,5394A6507,637123A5394B6507,,Journal Square,0,,6,0
1024,5396A6507,636642A5396B6507,,Journal Square via Hoboken,0,,8,0
861,5394A6507,637215A5394B6507,,Journal Square,0,,6,0
861,5394A6507,637022A5394B6507,,33rd Street,1,,4,0
862,5459A6540,649771A5459B6540,,Newark,0,,2,0
859,5394A6507,636260A5394B6507,,Hoboken,0,,9,0
1024,5395A6507,636883A5395B6507,,Journal Square via Hoboken,0,,8,0
859,5394A6507,636126A5394B6507,,33rd Street,1,,3,0
859,5459A6540,649133A5459B6540,,33rd Street,1,,3,0
860,5394A6507,636512A5394B6507,,Hoboken,0,,7,0
862,5459A6540,649827A5459B6540,,World Trade Center,1,,1,0
862,5459A6540,649756A5459B6540,,Newark,0,,2,0
1024,5395A6507,636791A5395B6507,,33rd via Hoboken,1,,11,0
859,5394A6507,636253A5394B6507,,Hoboken,0,,9,0
862,5394A6507,637489A5394B6507,,Newark,0,,2,0
860,5459A6540,649451A5459B6540,,Hoboken,0,,7,0
862,5394A6507,637563A5394B6507,,Newark,0,,2,0
860,5394A6507,636484A5394B6507,,Hoboken,0,,7,0
862,5395A6507,637391A5395B6507,,Newark,0,,2,0
862,5459A6540,649797A5459B6540,,Newark,0,,2,0
861,5394A6507,637185A5394B6507,,Journal Square,0,,6,0
1024,5396A6507,636666A5396B6507,,Journal Square via Hoboken,0,,8,0
861,5394A6507,637075A5394B6507,,33rd Street,1,,4,0
860,5394A6507,636418A5394B6507,,World Trade Center,1,,5,0
859,5394A6507,636215A5394B6507,,33rd Street,1,,3,0
862,5394A6507,637727A5394B6507,,World Trade Center,1,,1,0
862,5459A6540,649834A5459B6540,,World Trade Center,1,,1,0
862,5459A6540,649787A5459B6540,,Newark,0,,2,0
859,5394A6507,636299A5394B6507,,Hoboken,0,,9,0
861,5459A6540,649587A5459B6540,,Journal Square,0,,6,0
862,5394A6507,637708A5394B6507,,World Trade Center,1,,1,0
859,5459A6540,649242A5459B6540,,Hoboken,0,,9,0
862,5459A6540,649841A5459B6540,,World Trade Center,1,,1,0
859,5394A6507,636255A5394B6507,,Hoboken,0,,9,0
860,5459A6540,649346A5459B6540,,World Trade Center,1,,5,0
1024,5395A6507,636833A5395B6507,,33rd via Hoboken,1,,11,0
862,5395A6507,637384A5395B6507,,Newark,0,,2,0
861,5394A6507,637125A5394B6507,,Journal Square,0,,6,0
862,5396A6507,637281A5396B6507,,Newark,0,,2,0
862,5394A6507,637526A5394B6507,,Newark,0,,2,0
862,5459A6540,649905A5459B6540,,World Trade Center,1,,1,0
860,5394A6507,636372A5394B6507,,World Trade Center,1,,5,0
860,5394A6507,636390A5394B6507,,World Trade Center,1,,5,0
862,5459A6540,649856A5459B6540,,World Trade Center,1,,1,0
861,5394A6507,637063A5394B6507,,33rd Street,1,,4,0
860,5459A6540,649334A5459B6540,,World Trade Center,1,,5,0
862,5394A6507,637541A5394B6507,,Newark,0,,2,0
861,5394A6507,637099A5394B6507,,33rd Street,1,,4,0
859,5394A6507,636147A5394B6507,,33rd Street,1,,3,0
862,5459A6540,649861A5459B6540,,World Trade Center,1,,1,0
